OrderID,OrderDate,Region,Category,SubCategory,Sales,Quantity,Discount,Profit,Segment
1001,2025-01-05,East,Technology,Laptops,1200,2,0.10,250,Consumer
1002,2025-01-10,West,Furniture,Chair,450,3,0.05,80,Corporate
1003,2025-01-15,South,Office Supplies,Paper,120,10,0.00,40,Home Office
1004,2025-02-01,North,Technology,Phone,900,2,0.15,180,Consumer
1005,2025-02-12,East,Furniture,Table,650,1,0.20,70,Corporate
1006,2025-03-08,West,Office Supplies,Pen,80,20,0.00,25,Consumer
1007,2025-03-18,South,Technology,Monitor,700,2,0.05,140,Home Office
1008,2025-04-02,North,Furniture,Sofa,1500,1,0.10,300,Consumer
1009,2025-04-15,East,Office Supplies,Notebook,220,8,0.00,60,Corporate
1010,2025-05-05,West,Technology,Printer,500,1,0.08,110,Consumer
1011,2025-05-12,South,Furniture,Cabinet,800,1,0.12,130,Home Office
1012,2025-06-01,North,Office Supplies,Files,150,12,0.00,45,Corporate
1013,2025-06-15,East,Technology,Keyboard,180,5,0.05,50,Consumer
1014,2025-07-03,West,Furniture,Desk,950,1,0.15,160,Corporate
1015,2025-07-20,South,Technology,Mouse,90,10,0.00,30,Consumer
